# lambda	calibration	sensitivity
4.004304999999999950e+02 8.610370118301357428e-03 1.462487991780754726e+02
4.005305000000000177e+02 8.668706548012701171e-03 1.091644243880958811e+02
4.006305000000000405e+02 8.727059026005451817e-03 8.484269211729727544e+01
4.007305000000000632e+02 8.785425866013035073e-03 1.600197403714717268e+02
4.008305000000000859e+02 8.843816387531372447e-03 1.214958280800596526e+02
4.009305000000001087e+02 8.902230057783983019e-03 9.176754124665100676e+01
4.010305000000001314e+02 8.960665270713078293e-03 1.725391673087160882e+02
4.011305000000001542e+02 9.019134709850508066e-03 1.333851563388711838e+02
4.012305000000001769e+02 9.077630532135939206e-03 9.850989254419098984e+01
4.013305000000001996e+02 9.136163550174674144e-03 7.701506086323112754e+01
4.014305000000002224e+02 9.194725565752260091e-03 1.453916198480195021e+02
4.015305000000002451e+02 9.253326373988703807e-03 1.095506440395111127e+02
4.016305000000002678e+02 9.311963753597761809e-03 8.385418953785500662e+01
4.017305000000002906e+02 9.370630638834066828e-03 1.572403596626103308e+02
4.018305000000003133e+02 9.429340927184788612e-03 1.211705988471785247e+02
4.019305000000003361e+02 9.488085844336262634e-03 9.049956798605414576e+01
4.020305000000003588e+02 9.546863703845324955e-03 6.956295749028633679e+01
4.021305000000003815e+02 9.605685047179951877e-03 1.323487126098508497e+02
4.022305000000004043e+02 9.664543057615441329e-03 9.825981869656229151e+01
4.023305000000004270e+02 9.723441789858958823e-03 7.628994759255878932e+01
4.024305000000004497e+02 9.782368701207902126e-03 1.434549259991579788e+02
4.025305000000004725e+02 9.841335044724225725e-03 1.096176532493562377e+02
4.026305000000004952e+02 9.900333756611300398e-03 8.284009981856283389e+01
4.027305000000005180e+02 9.959358859956437410e-03 1.537081809790139459e+02
4.028305000000005407e+02 1.001841968806504481e-02 1.205403008670281935e+02
4.029305000000005634e+02 1.007750454864768039e-02 8.920442400274882289e+01
4.030305000000005862e+02 1.013661641703766762e-02 6.906746877581049660e+01
4.031305000000006089e+02 1.019574826656784172e-02 1.310034091120961648e+02
4.032305000000006316e+02 1.025489901915585707e-02 9.869775025867032525e+01
4.033305000000006544e+02 1.031406268989259155e-02 7.551303178595745180e+01
4.034305000000006771e+02 1.037323336411726145e-02 1.407429277752025030e+02
4.035305000000006999e+02 1.043240677407108845e-02 1.093700512283696753e+02
4.036305000000007226e+02 1.049157459777844657e-02 8.177753407234609995e+01
4.037305000000007453e+02 1.055073429859461169e-02 1.496650523839886375e+02
4.038305000000007681e+02 1.060986889359468582e-02 1.196500092585327906e+02
4.039305000000007908e+02 1.066897189072478318e-02 8.838164663761909878e+01
4.040305000000008135e+02 1.072802142858998199e-02 6.850118299119023391e+01
4.041305000000008363e+02 1.078702372406182414e-02 1.289930233660123804e+02
4.042305000000008590e+02 1.084594169996926094e-02 9.880321684392535531e+01
4.043305000000008818e+02 1.090477198096346904e-02 7.467315824041054384e+01
4.044305000000009045e+02 1.096352831048218179e-02 1.374840902172225299e+02
4.045305000000009272e+02 1.102218629238397099e-02 1.088615941201580739e+02
4.046305000000009500e+02 1.108081120499180422e-02 8.066035537018291279e+01
4.047305000000009727e+02 1.113948349133653433e-02 6.185437786412107641e+01
4.048305000000009954e+02 1.120025855064073379e-02 1.183464123544575841e+02
4.049305000000010182e+02 1.126181864402450196e-02 8.880871617283699493e+01
4.050305000000010409e+02 1.132372445517512878e-02 6.792138132031466569e+01
4.051305000000010637e+02 1.138602602293676061e-02 1.264007185518576648e+02
4.052305000000010864e+02 1.144861016152782032e-02 9.865620865708490328e+01
4.053305000000011091e+02 1.151152669076843139e-02 7.379239196192881423e+01
4.054305000000011319e+02 1.157483577545705133e-02 1.338172088401665860e+02
4.055305000000011546e+02 1.163842224314411491e-02 1.081666520951379908e+02
4.056305000000011773e+02 1.170232780242606851e-02 7.948163967576394384e+01
4.057305000000012001e+02 1.176660752313302659e-02 6.150512282842245071e+01
4.058305000000012228e+02 1.183126879486667143e-02 1.163160143858968070e+02
4.059305000000012456e+02 1.189618586807466953e-02 8.896204988736843688e+01
4.060305000000012683e+02 1.196141849229258834e-02 6.723583968985214199e+01
4.061305000000012910e+02 1.202701801529764379e-02 1.233480344952420893e+02
4.062305000000013138e+02 1.209287225618014758e-02 9.824150231137863898e+01
