# lambda	calibration	sensitivity
4.004304999999999950e+02 8.041046793608955939e-03 1.595521413327716402e+02
4.005305000000000177e+02 8.097509847145332312e-03 1.159151343399683185e+02
4.006305000000000405e+02 8.153991147412172069e-03 9.044515758496916646e+01
4.007305000000000632e+02 8.210487716034048714e-03 1.714629084285314775e+02
4.008305000000000859e+02 8.267008691023980393e-03 1.304995144409613772e+02
4.009305000000001087e+02 8.323552498018934806e-03 9.734390010596523268e+01
4.010305000000001314e+02 8.380117009682833823e-03 1.827230380722138534e+02
4.011305000000001542e+02 8.436713665002920984e-03 1.443015650213418155e+02
4.012305000000001769e+02 8.493334958714999702e-03 1.041537694097351050e+02
4.013305000000001996e+02 8.549990217224320496e-03 8.222765054059411227e+01
4.014305000000002224e+02 8.606671608283723504e-03 1.566969527561307416e+02
4.015305000000002451e+02 8.663388035709183171e-03 1.168455455487502093e+02
4.016305000000002678e+02 8.720137123393789311e-03 8.910972282626387653e+01
4.017305000000002906e+02 8.776912415318102387e-03 1.676632086635238750e+02
4.018305000000003133e+02 8.833726250611734568e-03 1.301858769302269820e+02
4.019305000000003361e+02 8.890570885182693187e-03 9.588645337623989917e+01
4.020305000000003588e+02 8.947444676986394604e-03 7.429729745222859094e+01
4.021305000000003815e+02 9.004356962915150212e-03 1.428154247016005911e+02
4.022305000000004043e+02 9.061302132194838654e-03 1.042254013448817176e+02
4.023305000000004270e+02 9.118283778945173584e-03 8.113601910168843290e+01
4.024305000000004497e+02 9.175290829902524314e-03 1.536197735974214424e+02
4.025305000000004725e+02 9.232334025492677440e-03 1.171253359768958831e+02
4.026305000000004952e+02 9.289407405116443389e-03 8.788122813023326785e+01
4.027305000000005180e+02 9.346505627086979309e-03 1.637157919889262416e+02
4.028305000000005407e+02 9.403638538159349303e-03 1.293461481499938088e+02
4.029305000000005634e+02 9.460796041496580960e-03 9.451712185313610348e+01
4.030305000000005862e+02 9.517982050314982567e-03 7.344027851585528310e+01
4.031305000000006089e+02 9.575190811487862066e-03 1.405208934435700314e+02
4.032305000000006316e+02 9.632424409082875755e-03 1.050229258890625346e+02
4.033305000000006544e+02 9.689678692377412528e-03 8.014484485149412762e+01
4.034305000000006771e+02 9.746947617888126678e-03 1.503595364246083648e+02
4.035305000000006999e+02 9.804234247666743229e-03 1.168441351908640797e+02
4.036305000000007226e+02 9.861531644006439959e-03 8.673667451983652654e+01
4.037305000000007453e+02 9.918837074075670737e-03 1.596955712604331836e+02
4.038305000000007681e+02 9.976148437977526429e-03 1.280576302594328979e+02
4.039305000000007908e+02 1.003345872861539576e-02 9.380884336893957709e+01
4.040305000000008135e+02 1.009076217745707819e-02 7.267591370881507373e+01
4.041305000000008363e+02 1.014805614510904536e-02 1.378740273253094415e+02
4.042305000000008590e+02 1.020532869560409131e-02 1.052310920389018349e+02
4.043305000000008818e+02 1.026257387927059783e-02 7.921427056483970830e+01
4.044305000000009045e+02 1.031979225433610203e-02 1.469925330221408899e+02
4.045305000000009272e+02 1.037695988783025533e-02 1.160815550204592057e+02
4.046305000000009500e+02 1.043407910434457526e-02 8.564254326620643099e+01
4.047305000000009727e+02 1.049114124774503873e-02 6.548784227222994048e+01
4.048305000000009954e+02 1.054814610801078911e-02 1.261844528300557329e+02
4.049305000000010182e+02 1.060509815757295672e-02 9.445317965520779069e+01
4.050305000000010409e+02 1.066204922906815664e-02 7.198382390959295662e+01
4.051305000000010637e+02 1.071905589570562763e-02 1.350719500952096723e+02
4.052305000000010864e+02 1.077737194108054943e-02 1.049486783449831933e+02
4.053305000000011091e+02 1.083624080491450183e-02 7.834914859474551463e+01
4.054305000000011319e+02 1.089448077865740744e-02 1.435959386547908707e+02
4.055305000000011546e+02 1.095636546442525262e-02 1.149087179006739206e+02
4.056305000000011773e+02 1.101708685013516424e-02 8.457251923546976968e+01
4.057305000000012001e+02 1.107611606887763493e-02 6.505774066095295893e+01
4.058305000000012228e+02 1.113779833968195181e-02 1.238752308213287279e+02
4.059305000000012456e+02 1.119986366434600443e-02 9.457067362082646866e+01
4.060305000000012683e+02 1.126052898315070550e-02 7.132669932161708459e+01
4.061305000000012910e+02 1.132163174028559711e-02 1.322143412856798363e+02
4.062305000000013138e+02 1.138523289010402381e-02 1.042000213281771011e+02
4.063305000000013365e+02 1.144757868212624777e-02 7.741717750792992092e+01
4.064305000000013592e+02 1.150859431693395350e-02 5.842122957894893887e+01
4.065305000000013820e+02 1.157322558090225634e-02 1.133586303024089972e+02
4.066305000000014047e+02 1.163706237604961863e-02 8.485168839712852673e+01
4.067305000000014275e+02 1.169937425323442325e-02 6.460381459947687688e+01
4.068305000000014502e+02 1.176345983529742019e-02 1.215050558190764463e+02
4.069305000000014729e+02 1.182891001428790570e-02 9.419797027950423285e+01
4.070305000000014957e+02 1.189297381030041643e-02 7.055743648932295287e+01
4.071305000000015184e+02 1.195648240480150573e-02 1.292931518434779719e+02
4.072305000000015411e+02 1.202360878682511881e-02 1.031621860527260566e+02
4.073305000000015639e+02 1.208949497519169920e-02 7.628168046628796617e+01
4.074305000000015866e+02 1.215365623197082502e-02 5.820378858768400221e+01
4.075305000000016094e+02 1.222096002791592077e-02 1.114155869972074981e+02
4.076305000000016321e+02 1.228842005016835687e-02 8.475715942529323854e+01
4.077305000000016548e+02 1.235430755565435079e-02 6.402489666002685453e+01
4.078305000000016776e+02 1.242104006911419478e-02 1.189613860695125425e+02
4.079305000000017003e+02 1.249028197486268428e-02 9.349411372858368452e+01
4.080305000000017230e+02 1.255809815197672305e-02 6.960069403516035891e+01
4.081305000000017458e+02 1.262452288092192829e-02 5.918055865263276871e+01
4.082305000000017685e+02 1.269527727034119521e-02 1.019223301224480025e+02
4.083305000000017912e+02 1.276489667378578365e-02 7.583661630631566197e+01
4.084305000000018140e+02 1.283269683212072930e-02 5.790832127411574248e+01
4.085305000000018367e+02 1.290290741108297314e-02 1.093267101837051030e+02
4.086305000000018595e+02 1.297436378182097345e-02 8.440761937029145656e+01
4.087305000000018822e+02 1.304418542146085387e-02 6.334648562265545024e+01
4.088305000000019049e+02 1.311374368714913162e-02 1.163329774394206737e+02
4.089305000000019277e+02 1.318712730668921383e-02 9.270455972826250957e+01
