# lambda	calibration	sensitivity
4.004304999999999950e+02 6.852720214792982524e-03 1.301312003655016269e+02
4.005305000000000177e+02 6.904533206427466291e-03 1.296786933164416098e+02
4.006305000000000405e+02 6.956385911577454839e-03 1.292261862667492665e+02
4.007305000000000632e+02 7.008267468552985789e-03 1.287736792169340561e+02
4.008305000000000859e+02 7.060192356769322275e-03 1.283211721661378988e+02
4.009305000000001087e+02 7.112153946525855489e-03 1.278686651146642816e+02
4.010305000000001314e+02 7.164146397270836596e-03 1.274161580639506894e+02
4.011305000000001542e+02 7.216183175753183854e-03 1.269636510173127704e+02
4.012305000000001769e+02 7.268253076655127251e-03 1.265111439661188939e+02
4.013305000000001996e+02 7.320365883708180969e-03 1.260586369156277584e+02
4.014305000000002224e+02 7.372508771310626319e-03 1.256061298662548467e+02
4.015305000000002451e+02 7.424692873760882321e-03 1.251536228161683084e+02
4.016305000000002678e+02 7.476913766638841781e-03 1.247011157656084066e+02
4.017305000000002906e+02 7.529162556160564485e-03 1.242486087142019358e+02
4.018305000000003133e+02 7.581452263101270614e-03 1.237961016637739959e+02
4.019305000000003361e+02 7.633774364617772895e-03 1.233435946152856104e+02
4.020305000000003588e+02 7.686126642687598175e-03 1.228910875641797560e+02
4.021305000000003815e+02 7.738516033016058608e-03 1.224385805160157048e+02
4.022305000000004043e+02 7.790938946554179512e-03 1.219860734631274113e+02
4.023305000000004270e+02 7.843398155757033696e-03 1.215335664141677512e+02
4.024305000000004497e+02 7.895881059788492293e-03 1.210810593633475349e+02
4.025305000000004725e+02 7.948399684525217848e-03 1.206285523142779823e+02
4.026305000000004952e+02 8.000948442658936330e-03 1.201760452646931583e+02
4.027305000000005180e+02 8.053521252358841406e-03 1.197235382135831685e+02
4.028305000000005407e+02 8.106128705375038532e-03 1.192710311651862867e+02
4.029305000000005634e+02 8.158762009528527231e-03 1.188185241149519982e+02
4.030305000000005862e+02 8.211426104664300632e-03 1.183660170638956544e+02
4.031305000000006089e+02 8.264113996860769293e-03 1.179135100129195735e+02
4.032305000000006316e+02 8.316832279001639197e-03 1.174610029632134029e+02
4.033305000000006544e+02 8.369578092509389819e-03 1.170084959138220455e+02
4.034305000000006771e+02 8.422343749208185612e-03 1.165559888646644140e+02
4.035305000000006999e+02 8.475138985161065688e-03 1.161034818140305731e+02
4.036305000000007226e+02 8.527958045031832843e-03 1.156509747626468823e+02
4.037305000000007453e+02 8.580797387420780603e-03 1.151984677134028772e+02
4.038305000000007681e+02 8.633665737966056755e-03 1.147459606629034994e+02
4.039305000000007908e+02 8.686555989186654780e-03 1.142934536138264292e+02
4.040305000000008135e+02 8.739474570262032588e-03 1.138409465631053337e+02
4.041305000000008363e+02 8.792410151907228619e-03 1.133884395131522211e+02
4.042305000000008590e+02 8.845372259076143134e-03 1.129359324622705714e+02
4.043305000000008818e+02 8.898357845969640662e-03 1.124834254111566167e+02
4.044305000000009045e+02 8.951361598790714622e-03 1.120309183611879575e+02
4.045305000000009272e+02 9.004392668944764117e-03 1.115784113126872512e+02
4.046305000000009500e+02 9.057445174767666390e-03 1.111259042612646226e+02
4.047305000000009727e+02 9.110522156774577066e-03 1.106733972124183367e+02
4.048305000000009954e+02 9.163621023711160038e-03 1.102208901610882492e+02
4.049305000000010182e+02 9.216747399771961155e-03 1.097683831114117083e+02
4.050305000000010409e+02 9.269901318225529790e-03 1.093158760613932969e+02
4.051305000000010637e+02 9.323075079755287556e-03 1.088633690114609038e+02
4.052305000000010864e+02 9.376281238450065447e-03 1.084108619611622686e+02
4.053305000000011091e+02 9.429517301213852579e-03 1.079583549111500815e+02
4.054305000000011319e+02 9.482779455969172350e-03 1.075058478623071494e+02
4.055305000000011546e+02 9.536086204300679714e-03 1.070533408106220037e+02
4.056305000000011773e+02 9.589430704269501574e-03 1.066008337594586379e+02
4.057305000000012001e+02 9.642840607858341531e-03 1.061483267109362600e+02
4.058305000000012228e+02 9.696298973351164321e-03 1.056958196603792715e+02
4.059305000000012456e+02 9.749849144347795538e-03 1.052433126109981316e+02
4.060305000000012683e+02 9.803511970879799295e-03 1.047908055609281206e+02
4.061305000000012910e+02 9.857275667701203767e-03 1.043382985103069132e+02
4.062305000000013138e+02 9.911242941284982913e-03 1.038857914605270736e+02
4.063305000000013365e+02 9.965416529124240461e-03 1.034332844106018996e+02
4.064305000000013592e+02 1.001983463420393593e-02 1.029807773606229659e+02
4.065305000000013820e+02 1.007455089314229085e-02 1.025282703101100168e+02
4.066305000000014047e+02 1.013142108905426032e-02 1.020757632594580144e+02
4.067305000000014275e+02 1.018867458109408951e-02 1.016232562100735208e+02
4.068305000000014502e+02 1.024607627640899618e-02 1.011707491599303808e+02
4.069305000000014729e+02 1.030371138240277623e-02 1.007182421094010181e+02
4.070305000000014957e+02 1.036161929066991769e-02 1.002657350594349026e+02
4.071305000000015184e+02 1.041975200112033040e-02 9.981322800948490226e+01
4.072305000000015411e+02 1.047809923595855765e-02 9.936072095906031620e+01
4.073305000000015639e+02 1.053666413402598589e-02 9.890821390906708643e+01
4.074305000000015866e+02 1.059559100957143361e-02 9.845570685879070538e+01
4.075305000000016094e+02 1.065464979235968175e-02 9.800319980292479727e+01
4.076305000000016321e+02 1.071395531980947474e-02 9.754125852523029039e+01
