# lambda	calibration	sensitivity
4.775471190000000092e+02 1.143838736102778947e-01 7.613549845370852331e+00
4.776471190000000320e+02 1.152257181515177614e-01 7.591097639133185915e+00
4.777471190000000547e+02 1.160675626927576420e-01 7.568645432895519498e+00
4.778471190000000774e+02 1.169094072339975088e-01 7.546193226657852193e+00
4.779471190000001002e+02 1.177522843969339844e-01 7.523744411012869726e+00
4.780471190000001229e+02 1.185958157048583733e-01 7.501297743239867977e+00
4.781471190000001457e+02 1.194393470127827622e-01 7.478851075466866227e+00
4.782471190000001684e+02 1.202832671848638180e-01 7.456405757324506389e+00
4.783471190000001911e+02 1.211285307042750253e-01 7.433965101537076237e+00
4.784471190000002139e+02 1.219737942236862327e-01 7.411524445749646084e+00
4.785471190000002366e+02 1.228190577430974401e-01 7.389083789962215931e+00
4.786471190000002593e+02 1.236657984545055516e-01 7.366648612045877620e+00
4.787471190000002821e+02 1.245128280627200990e-01 7.344214505445568975e+00
4.788471190000003048e+02 1.253598576709346601e-01 7.321780398845259441e+00
4.789471190000003276e+02 1.262076893935113464e-01 7.299349502091501130e+00
4.790471190000003503e+02 1.270565079979836809e-01 7.276922554574406732e+00
4.791471190000003730e+02 1.279053266024559876e-01 7.254495607057313222e+00
4.792471190000003958e+02 1.287542549795019919e-01 7.232069137994340480e+00
4.793471190000004185e+02 1.296048757933598305e-01 7.209650045576929678e+00
4.794471190000004412e+02 1.304554966072176969e-01 7.187230953159517988e+00
4.795471190000004640e+02 1.313061174210755355e-01 7.164811860742107186e+00
4.796471190000004867e+02 1.321579537074345223e-01 7.142398588935430226e+00
4.797471190000005095e+02 1.330103809751842225e-01 7.119988147199054040e+00
4.798471190000005322e+02 1.338628082429339228e-01 7.097577705462676967e+00
4.799471190000005549e+02 1.347157495512937841e-01 7.075169990607014014e+00
4.800471190000005777e+02 1.355699792686740901e-01 7.052769110498720906e+00
4.801471190000006004e+02 1.364242089860543961e-01 7.030368230390426909e+00
4.802471190000006231e+02 1.372784387034347298e-01 7.007967350282133800e+00
4.803471190000006459e+02 1.381342750232472660e-01 6.985575984792161464e+00
4.804471190000006686e+02 1.389902957648209703e-01 6.963185711484444873e+00
4.805471190000006914e+02 1.398463165063947022e-01 6.940795438176727394e+00
4.806471190000007141e+02 1.407032398651884564e-01 6.918411176382366357e+00
