# lambda	calibration	sensitivity
4.004304999999999950e+02 7.298150242197399933e-03 1.639255817177906636e+02
4.005305000000000177e+02 7.347602178822285057e-03 1.289284791844212066e+02
4.006305000000000405e+02 7.397075766598709343e-03 1.011455998324512109e+02
4.007305000000000632e+02 7.446567210752465249e-03 1.865887228219112046e+02
4.008305000000000859e+02 7.496086963056133867e-03 1.400116470746634434e+02
4.009305000000001087e+02 7.545632829793544674e-03 1.093998620045328352e+02
4.010305000000001314e+02 7.595202169130934634e-03 2.076122829364754807e+02
4.011305000000001542e+02 7.644807588232729011e-03 1.508015577629863628e+02
4.012305000000001769e+02 7.694440507058081594e-03 1.172832846211117896e+02
4.013305000000001996e+02 7.744110941159487380e-03 9.185637183401915706e+01
4.014305000000002224e+02 7.793809963939027190e-03 1.660181406771458796e+02
4.015305000000002451e+02 7.843547149795822640e-03 1.276067569160821336e+02
4.016305000000002678e+02 7.893319572157485656e-03 9.990101538342887011e+01
4.017305000000002906e+02 7.943120076328361728e-03 1.861077536026783434e+02
4.018305000000003133e+02 7.992961569590811832e-03 1.382625157109472980e+02
4.019305000000003361e+02 8.042835547351943198e-03 1.075778339424455652e+02
4.020305000000003588e+02 8.092740097350401354e-03 8.317402267934703275e+01
4.021305000000003815e+02 8.142684517775014563e-03 1.486313681070822668e+02
4.022305000000004043e+02 8.192662659145156720e-03 1.157752307550114068e+02
4.023305000000004270e+02 8.242677777028039471e-03 9.098454174255726912e+01
4.024305000000004497e+02 8.292718296255285199e-03 1.666094212956544141e+02
4.025305000000004725e+02 8.342794484750528511e-03 1.263004600849570096e+02
4.026305000000004952e+02 8.392899922338164717e-03 9.846530027385223605e+01
4.027305000000005180e+02 8.443029125909115931e-03 1.843039085825033396e+02
4.028305000000005407e+02 8.493190581451851365e-03 1.365371615583459288e+02
4.029305000000005634e+02 8.543374119926472679e-03 1.056267071858359827e+02
4.030305000000005862e+02 8.593582561816500223e-03 8.259288609579233764e+01
4.031305000000006089e+02 8.643809713701688588e-03 1.489865314699823386e+02
4.032305000000006316e+02 8.694055636291707703e-03 1.148823288805286751e+02
4.033305000000006544e+02 8.744315444965674450e-03 8.987662279701956436e+01
4.034305000000006771e+02 8.794583717541435905e-03 1.658188340210152489e+02
4.035305000000006999e+02 8.844858826265476759e-03 1.249788259126559069e+02
4.036305000000007226e+02 8.895133931567416469e-03 9.687237998530137872e+01
4.037305000000007453e+02 8.945406740381333863e-03 1.813071559842409783e+02
4.038305000000007681e+02 8.995666727456151993e-03 1.347994377356641849e+02
4.039305000000007908e+02 9.045908440990874100e-03 1.039922691970079427e+02
4.040305000000008135e+02 9.096118460556794350e-03 8.173773684802964112e+01
4.041305000000008363e+02 9.146300090246774900e-03 1.491094896276973145e+02
4.042305000000008590e+02 9.196431597671207367e-03 1.139342119981761385e+02
4.043305000000008818e+02 9.246514210509797910e-03 8.858370257873876596e+01
4.044305000000009045e+02 9.296558952506771278e-03 1.638085398621329034e+02
4.045305000000009272e+02 9.346566710783441381e-03 1.236132643688738995e+02
4.046305000000009500e+02 9.396589579645137774e-03 9.517791593909177550e+01
4.047305000000009727e+02 9.446701786799894390e-03 7.403032884529957869e+01
4.048305000000009954e+02 9.498547663448250744e-03 1.340889439109768091e+02
4.049305000000010182e+02 9.551025576000187964e-03 1.033810826425242908e+02
4.050305000000010409e+02 9.603776490395276103e-03 8.073720591353952614e+01
4.051305000000010637e+02 9.656839077496240722e-03 1.479869242855095024e+02
