# lambda	calibration	sensitivity
4.006780999999999722e+02 2.159562408698050082e-03 3.497686674803225628e+02
4.007780999999999949e+02 2.194877689035667958e-03 3.474993083612462783e+02
4.008781000000000176e+02 2.230192969373286267e-03 3.452299492421699370e+02
4.009781000000000404e+02 2.265508249710904143e-03 3.429605901230936524e+02
4.010781000000000631e+02 2.300868527504179410e-03 3.407245384190026698e+02
4.011781000000000859e+02 2.336257695289509998e-03 3.385098712785556927e+02
4.012781000000001086e+02 2.371646863074841020e-03 3.362952041381087724e+02
4.013781000000001313e+02 2.407052373154239949e-03 3.340921041039179045e+02
4.014781000000001541e+02 2.442516795563202600e-03 3.319307023265949397e+02
4.015781000000001768e+02 2.477981217972165251e-03 3.297693005492719749e+02
4.016781000000001995e+02 2.513445640381128336e-03 3.276078987719489533e+02
4.017781000000002223e+02 2.548972964047799099e-03 3.254892416874460537e+02
4.018781000000002450e+02 2.584513590686930880e-03 3.233796246681521893e+02
4.019781000000002678e+02 2.620054217326062227e-03 3.212700076488583250e+02
4.020781000000002905e+02 2.655628165074827660e-03 3.191822244748029789e+02
4.021781000000003132e+02 2.691245568464267941e-03 3.171229158546757958e+02
4.022781000000003360e+02 2.726862971853708222e-03 3.150636072345486127e+02
4.023781000000003587e+02 2.762483655455475959e-03 3.130063827179791929e+02
4.024781000000003814e+02 2.798178059134294373e-03 3.109959967165741546e+02
4.025781000000004042e+02 2.833872462813112354e-03 3.089856107151690594e+02
4.026781000000004269e+02 2.869566866491930768e-03 3.069752247137639642e+02
4.027781000000004497e+02 2.905311342754829558e-03 3.049958286130358829e+02
4.028781000000004724e+02 2.941082641584113339e-03 3.030330329870673722e+02
4.029781000000004951e+02 2.976853940413397119e-03 3.010702373610988616e+02
4.030781000000005179e+02 3.012645107380834686e-03 2.991194653546895097e+02
4.031781000000005406e+02 3.048492892729031626e-03 2.972029571461791875e+02
4.032781000000005633e+02 3.084340678077229000e-03 2.952864489376689221e+02
4.033781000000005861e+02 3.120188463425426374e-03 2.933699407291585999e+02
4.034781000000006088e+02 3.156102028205954972e-03 2.914924812926020650e+02
4.035781000000006316e+02 3.192025596310294356e-03 2.896209601485543317e+02
4.036781000000006543e+02 3.227949164414633306e-03 2.877494390045065984e+02
4.037781000000006770e+02 3.263908418500966781e-03 2.858988000896209769e+02
4.038781000000006998e+02 3.299906799984748170e-03 2.840710572037742168e+02
4.039781000000007225e+02 3.335905181468529126e-03 2.822433143179274566e+02
4.040781000000007452e+02 3.371909856187468336e-03 2.804192215640197219e+02
4.041781000000007680e+02 3.407981842760809087e-03 2.786341702797955691e+02
4.042781000000007907e+02 3.444053829334150271e-03 2.768491189955714162e+02
4.043781000000008135e+02 3.480125815907491454e-03 2.750640677113472634e+02
4.044781000000008362e+02 3.516247859886250000e-03 2.733079016886018735e+02
4.045781000000008589e+02 3.552391998158137103e-03 2.715644850169039159e+02
4.046781000000008817e+02 3.588536136430024205e-03 2.698210683452059016e+02
4.047781000000009044e+02 3.624701606534994677e-03 2.680899286586054018e+02
4.048781000000009271e+02 3.660916223655404696e-03 2.663870742662780344e+02
4.049781000000009499e+02 3.697130840775815150e-03 2.646842198739506671e+02
4.050781000000009726e+02 3.733345457896225603e-03 2.629813654816233566e+02
4.051781000000009954e+02 3.769622621369797880e-03 2.613145428040172078e+02
4.052781000000010181e+02 3.805905853874071761e-03 2.596512163747427735e+02
4.053781000000010408e+02 3.842189086378346077e-03 2.579878899454683392e+02
4.054781000000010636e+02 3.878506916433448106e-03 2.563445910458633534e+02
4.055781000000010863e+02 3.914856704447845087e-03 2.547197916921117553e+02
4.056781000000011090e+02 3.951206492462242502e-03 2.530949923383601572e+02
4.057781000000011318e+02 3.987564559091311307e-03 2.514750336291188546e+02
4.058781000000011545e+02 4.023978662011481328e-03 2.498878402768422404e+02
4.059781000000011772e+02 4.060392764931651348e-03 2.483006469245656547e+02
4.060781000000012000e+02 4.096806867851820501e-03 2.467134535722890405e+02
4.061781000000012227e+02 4.133266617259891661e-03 2.451533365867138059e+02
4.062781000000012455e+02 4.169742630512220279e-03 2.436028669109609268e+02
4.063781000000012682e+02 4.206218643764548029e-03 2.420523972352080477e+02
4.064781000000012909e+02 4.242715202112545651e-03 2.405143603921868873e+02
4.065781000000013137e+02 4.279250561665079097e-03 2.389998040378219457e+02
4.066781000000013364e+02 4.315785921217612543e-03 2.374852476834569757e+02
4.067781000000013591e+02 4.352321280770145989e-03 2.359706913290920340e+02
4.068781000000013819e+02 4.388910728890180191e-03 2.344898907884656580e+02
4.069781000000014046e+02 4.425502725686169571e-03 2.330106808359207093e+02
