# lambda	calibration	sensitivity
4.004304999999999950e+02 4.760589282844026812e-03 1.435508938868066764e+02
4.005305000000000177e+02 4.800125940119149767e-03 2.279416959858656355e+02
4.006305000000000405e+02 4.839662597394272722e-03 3.123324980849245662e+02
4.007305000000000632e+02 4.879244930469743384e-03 2.311747018934253788e+02
4.008305000000000859e+02 4.918921540123716296e-03 1.908349910467601376e+02
4.009305000000001087e+02 4.958632072286181525e-03 2.733724418866692076e+02
4.010305000000001314e+02 4.998353932369861523e-03 3.147998709316685222e+02
4.011305000000001542e+02 5.038168047816139923e-03 1.553000245749939268e+02
4.012305000000001769e+02 5.078048101720000415e-03 2.359765261466571076e+02
4.013305000000001996e+02 5.117928155623861775e-03 3.166530277183202884e+02
4.014305000000002224e+02 5.157869389873311408e-03 1.730320540229335791e+02
4.015305000000002451e+02 5.197899395215709734e-03 2.001498733635853569e+02
4.016305000000002678e+02 5.237943402499259729e-03 2.790072080993973032e+02
4.017305000000002906e+02 5.278015169971568554e-03 2.543952201708542873e+02
4.018305000000003133e+02 5.318172728071882648e-03 1.657819215852529737e+02
4.019305000000003361e+02 5.358374226726182049e-03 2.428970614499877456e+02
4.020305000000003588e+02 5.398575725380480583e-03 3.200122013147225175e+02
4.021305000000003815e+02 5.438853455435539545e-03 1.328735613545624972e+02
4.022305000000004043e+02 5.479205352101036708e-03 2.082751464594601316e+02
4.023305000000004270e+02 5.519557248766533870e-03 2.836767315643578513e+02
4.024305000000004497e+02 5.559950113077475470e-03 1.984030634759186569e+02
4.025305000000004725e+02 5.600420684368042322e-03 1.750631987066568342e+02
4.026305000000004952e+02 5.640915609511692672e-03 2.488001901067689801e+02
4.027305000000005180e+02 5.681422553218469507e-03 2.739178430176151551e+02
4.028305000000005407e+02 5.722003864176749069e-03 1.432317068975228551e+02
4.029305000000005634e+02 5.762634486363210108e-03 2.153395450886144147e+02
4.030305000000005862e+02 5.803265108549671147e-03 2.874473832797059458e+02
4.031305000000006089e+02 5.843946716500861283e-03 1.465452104847410055e+02
4.032305000000006316e+02 5.884698155550168071e-03 1.832645365620321911e+02
4.033305000000006544e+02 5.925457560897410408e-03 2.537540238255618306e+02
4.034305000000006771e+02 5.966241223191500603e-03 2.199784548038371668e+02
4.035305000000006999e+02 6.007091950890513024e-03 1.524811100193149969e+02
4.036305000000007226e+02 6.047974067578834254e-03 2.214417290015573485e+02
4.037305000000007453e+02 6.088856243522284065e-03 2.901420654752726023e+02
4.038305000000007681e+02 6.129803091354455759e-03 1.229709431984571779e+02
4.039305000000007908e+02 6.170803136864743375e-03 1.904164965698085439e+02
4.040305000000008135e+02 6.211803182375030125e-03 2.578620499411599098e+02
4.041305000000008363e+02 6.252838242407943690e-03 1.699653321255383673e+02
4.042305000000008590e+02 6.293936149203671962e-03 1.606653590306453623e+02
4.043305000000008818e+02 6.335051129629611262e-03 2.266178530288565298e+02
4.044305000000009045e+02 6.376178465062481288e-03 2.382116672864256941e+02
4.045305000000009272e+02 6.417368168907923789e-03 1.321443520308631605e+02
4.046305000000009500e+02 6.458597430824786385e-03 1.966582178588719785e+02
4.047305000000009727e+02 6.499826692741648114e-03 2.611720836868808533e+02
4.048305000000009954e+02 6.541103409624133593e-03 1.237217713673632318e+02
4.049305000000010182e+02 6.582444681836836786e-03 1.678919185689465223e+02
4.050305000000010409e+02 6.623790573589130246e-03 2.310093657262207216e+02
4.051305000000010637e+02 6.665162523042419788e-03 1.899411545179096379e+02
4.052305000000010864e+02 6.706601718285487915e-03 1.402846731998367886e+02
4.053305000000011091e+02 6.748070407647944156e-03 2.020192228953541189e+02
4.054305000000011319e+02 6.789541927417781092e-03 2.534856064905203255e+02
4.055305000000011546e+02 6.831085004794145744e-03 1.137930494402147872e+02
4.056305000000011773e+02 6.872687853167140822e-03 1.742014873028257114e+02
4.057305000000012001e+02 6.914290701540135899e-03 2.346099251654366356e+02
4.058305000000012228e+02 6.955941059152842554e-03 1.452260464797367376e+02
4.059305000000012456e+02 6.997677582087984474e-03 1.475049459186396064e+02
4.060305000000012683e+02 7.039434292924534251e-03 2.065995627559954642e+02
4.061305000000012910e+02 7.081213858502240915e-03 2.069492815068069262e+02
4.062305000000013138e+02 7.123095102537762430e-03 1.218687649129746404e+02
4.063305000000013365e+02 7.165042036294760538e-03 1.796997179565523197e+02
4.064305000000013592e+02 7.206988970051758647e-03 2.375306710001299848e+02
4.065305000000013820e+02 7.249037486619267293e-03 1.037505271818669428e+02
4.066305000000014047e+02 7.291245696587342513e-03 1.538377309827722570e+02
4.067305000000014275e+02 7.333458343071726573e-03 2.104459144493718554e+02
4.068305000000014502e+02 7.375757969370079145e-03 1.636876682299034655e+02
4.069305000000014729e+02 7.418298845480771585e-03 1.289715018403197462e+02
4.070305000000014957e+02 7.460945911622249120e-03 1.843901988921039674e+02
4.071305000000015184e+02 7.503621362392928415e-03 2.212727624976626828e+02
4.072305000000015411e+02 7.546678168688003910e-03 1.050733754413211329e+02
4.073305000000015639e+02 7.590102323361015528e-03 1.593386713850093486e+02
4.074305000000015866e+02 7.633526478034026279e-03 2.136039673286975642e+02
4.075305000000016094e+02 7.677330853326057823e-03 1.235035997868658626e+02
4.076305000000016321e+02 7.723276657811160850e-03 1.352654376662981122e+02
4.077305000000016548e+02 7.769718508182519613e-03 1.883918960306402823e+02
4.078305000000016776e+02 7.816636494131130181e-03 1.794676746349103951e+02
4.079305000000017003e+02 7.864811783464960640e-03 1.121534285970995768e+02
4.080305000000017230e+02 7.913238827737227241e-03 1.641528824213651205e+02
4.081305000000017458e+02 7.961665872009493841e-03 2.161523362456306927e+02
4.082305000000017685e+02 8.010567154545370980e-03 8.995345421372351780e+01
4.083305000000017912e+02 8.059931664186583550e-03 1.408698509529215244e+02
4.084305000000018140e+02 8.109296173827794385e-03 1.917862476921195025e+02
4.085305000000018367e+02 8.158928031809098078e-03 1.406465896766804349e+02
