# lambda	calibration	sensitivity
4.006780999999999722e+02 2.316358411547253006e-03 3.261219041390800726e+02
4.007780999999999949e+02 2.353227725115825293e-03 3.240802263320456973e+02
4.008781000000000176e+02 2.390097038684397580e-03 3.220385485250113220e+02
4.009781000000000404e+02 2.426966352252969868e-03 3.199968707179769467e+02
4.010781000000000631e+02 2.463884535551312885e-03 3.179838969552038748e+02
4.011781000000000859e+02 2.500834094981577681e-03 3.159893522257742688e+02
4.012781000000001086e+02 2.537783654411842043e-03 3.139948074963446629e+02
4.013781000000001313e+02 2.574750972937728862e-03 3.120102305261578977e+02
4.014781000000001541e+02 2.611782311220554095e-03 3.100615863274096569e+02
4.015781000000001768e+02 2.648813649503378893e-03 3.081129421286614161e+02
4.016781000000001995e+02 2.685844987786204126e-03 3.061642979299131753e+02
4.017781000000002223e+02 2.722944726831211682e-03 3.042525261197561122e+02
4.018781000000002450e+02 2.760058931937610979e-03 3.023485524425435074e+02
4.019781000000002678e+02 2.797173137044009841e-03 3.004445787653308457e+02
4.020781000000002905e+02 2.834323604075951290e-03 2.985594882364341061e+02
4.021781000000003132e+02 2.871521362006180383e-03 2.966990241175526535e+02
4.022781000000003360e+02 2.908719119936409477e-03 2.948385599986712577e+02
4.023781000000003587e+02 2.945920450582409367e-03 2.929799031660894002e+02
4.024781000000003814e+02 2.983202075080019361e-03 2.911618636082274634e+02
4.025781000000004042e+02 3.020483699577629789e-03 2.893438240503654697e+02
4.026781000000004269e+02 3.057765324075240217e-03 2.875257844925034760e+02
4.027781000000004497e+02 3.095101536583108950e-03 2.857346630845476056e+02
4.028781000000004724e+02 3.132466990452410609e-03 2.839579610215502044e+02
4.029781000000004951e+02 3.169832444321712267e-03 2.821812589585528031e+02
4.030781000000005179e+02 3.207219579829948247e-03 2.804150090005535958e+02
4.031781000000005406e+02 3.244668501665579768e-03 2.786785444837447585e+02
4.032781000000005633e+02 3.282117423501211290e-03 2.769420799669359781e+02
4.033781000000005861e+02 3.319566345336842812e-03 2.752056154501271976e+02
4.034781000000006088e+02 3.357087129585595645e-03 2.735031253442286356e+02
4.035781000000006316e+02 3.394618842219753862e-03 2.718058018538137617e+02
4.036781000000006543e+02 3.432150554853912079e-03 2.701084783633989446e+02
4.037781000000006770e+02 3.469721300157380551e-03 2.684293374612175853e+02
4.038781000000006998e+02 3.507334842286946759e-03 2.667701326044153802e+02
4.039781000000007225e+02 3.544948384416512967e-03 2.651109277476131183e+02
4.040781000000007452e+02 3.582568818934888603e-03 2.634548967186984783e+02
4.041781000000007680e+02 3.620262973799058710e-03 2.618328126558993176e+02
4.042781000000007907e+02 3.657957128663229251e-03 2.602107285931001570e+02
4.043781000000008135e+02 3.695651283527399793e-03 2.585886445303009964e+02
4.044781000000008362e+02 3.733400339467708717e-03 2.569916250403672393e+02
4.045781000000008589e+02 3.771173627596225483e-03 2.554056685293353723e+02
4.046781000000008817e+02 3.808946915724742248e-03 2.538197120183035054e+02
4.047781000000009044e+02 3.846743636179138573e-03 2.522444071051866672e+02
4.048781000000009271e+02 3.884594343033922776e-03 2.506936427106998906e+02
4.049781000000009499e+02 3.922445049888706112e-03 2.491428783162131140e+02
4.050781000000009726e+02 3.960295756743490748e-03 2.475921139217263658e+02
4.051781000000009954e+02 3.998215286018140004e-03 2.460725814458777734e+02
4.052781000000010181e+02 4.036141493306103466e-03 2.445560794820178216e+02
4.053781000000010408e+02 4.074067700594066928e-03 2.430395775181578699e+02
4.054781000000010636e+02 4.112032048692968768e-03 2.415404251366245205e+02
4.055781000000010863e+02 4.150031627681174604e-03 2.400572986653799035e+02
4.056781000000011090e+02 4.188031206669380439e-03 2.385741721941353148e+02
4.057781000000011318e+02 4.226039931146501061e-03 2.370952358834837526e+02
4.058781000000011545e+02 4.264110559613530638e-03 2.356446619339347421e+02
4.059781000000011772e+02 4.302181188080560215e-03 2.341940879843857317e+02
4.060781000000012000e+02 4.340251816547590659e-03 2.327435140348367213e+02
4.061781000000012227e+02 4.378372988403713209e-03 2.313163849452641330e+02
4.062781000000012455e+02 4.416512168870055134e-03 2.298976092596186334e+02
4.063781000000012682e+02 4.454651349336396192e-03 2.284788335739731622e+02
4.064781000000012909e+02 4.492813338201102555e-03 2.270708176187813194e+02
4.065781000000013137e+02 4.531018402714829738e-03 2.256831223527125303e+02
4.066781000000013364e+02 4.569223467228556920e-03 2.242954270866437696e+02
4.067781000000013591e+02 4.607428531742284970e-03 2.229077318205749805e+02
4.068781000000013819e+02 4.645693819945692291e-03 2.215491230670917275e+02
4.069781000000014046e+02 4.683961945914581412e-03 2.201918848822638779e+02
4.070781000000014274e+02 4.722230071883469667e-03 2.188346466974360283e+02
4.071781000000014501e+02 4.760532064231327333e-03 2.174943022280090190e+02
4.072781000000014728e+02 4.798860274257642049e-03 2.161670360389238965e+02
4.073781000000014956e+02 4.837188484283955897e-03 2.148397698498388024e+02
4.074781000000015183e+02 4.875526522084928059e-03 2.135176061941313037e+02
4.075781000000015410e+02 4.913911691509970786e-03 2.122199130511640135e+02
4.076781000000015638e+02 4.952296860935013513e-03 2.109222199081966949e+02
4.077781000000015865e+02 4.990682030360057107e-03 2.096245267652293762e+02
4.078781000000016093e+02 5.029109158567021849e-03 2.083494594415410006e+02
4.079781000000016320e+02 5.067548022861625631e-03 2.070807206761615475e+02
4.080781000000016547e+02 5.105986887156229413e-03 2.058119819107820945e+02
4.081781000000016775e+02 5.144445380082737079e-03 2.045492600148552924e+02
4.082781000000017002e+02 5.182934534228747329e-03 2.032959368664275246e+02
4.083781000000017229e+02 5.221423688374757580e-03 2.020426137179997568e+02
4.084781000000017457e+02 5.259912842520766962e-03 2.007892905695719890e+02
4.085781000000017684e+02 5.298448703478373517e-03 1.995654356089171131e+02
4.086781000000017912e+02 5.336984601831344655e-03 1.983416042416867242e+02
4.087781000000018139e+02 5.375520500184315792e-03 1.971177728744563069e+02
4.088781000000018366e+02 5.414082574350861758e-03 1.959119565667702147e+02
4.089781000000018594e+02 5.452661525028789681e-03 1.947177552316842082e+02
4.090781000000018821e+02 5.491240475706717604e-03 1.935235538965982016e+02
4.091781000000019048e+02 5.529827934367488942e-03 1.923356994530051054e+02
4.092781000000019276e+02 5.568446092339624127e-03 1.911707464658102538e+02
4.093781000000019503e+02 5.607064250311758445e-03 1.900057934786154021e+02
4.094781000000019731e+02 5.645682408283893630e-03 1.888408404914205505e+02
4.095781000000019958e+02 5.684329651442964794e-03 1.876994747565181854e+02
4.096781000000020185e+02 5.722983014260270979e-03 1.865630718889015611e+02
4.097781000000020413e+02 5.761636377077578031e-03 1.854266690212849085e+02
4.098781000000020640e+02 5.800303227890013860e-03 1.843021684198676837e+02
4.099781000000020867e+02 5.838987615422969006e-03 1.831931428178033343e+02
4.100781000000021095e+02 5.877672002955924152e-03 1.820841172157389565e+02
4.101781000000021322e+02 5.916357563197770231e-03 1.809762198598016596e+02
4.102781000000021550e+02 5.955068603205497697e-03 1.798928362151577574e+02
4.103781000000021777e+02 5.993779643213224297e-03 1.788094525705138835e+02
4.104781000000022004e+02 6.032490683220951763e-03 1.777260689258700097e+02
4.105781000000022232e+02 6.071216138684736377e-03 1.766585959977582263e+02
4.106781000000022459e+02 6.109949254429151294e-03 1.755995779220754116e+02
4.107781000000022686e+02 6.148682370173565344e-03 1.745405598463925969e+02
4.108781000000022914e+02 6.187420005856739472e-03 1.734876292941066822e+02
4.109781000000023141e+02 6.226170392392328320e-03 1.724518717869782165e+02
4.110781000000023369e+02 6.264920778927917169e-03 1.714161142798497508e+02
4.111781000000023596e+02 6.303671165463506018e-03 1.703803567727212567e+02
4.112781000000023823e+02 6.342432208178728874e-03 1.693641933534919417e+02
4.113781000000024051e+02 6.381194826185068898e-03 1.683509265063634928e+02
4.114781000000024278e+02 6.419957444191408923e-03 1.673376596592350438e+02
4.115781000000024505e+02 6.458723401293543082e-03 1.663349490992290498e+02
4.116781000000024733e+02 6.497492978794231974e-03 1.653436841427650847e+02
4.117781000000024960e+02 6.536262556294920867e-03 1.643524191863011197e+02
4.118781000000025188e+02 6.575032266677121977e-03 1.633630952762544837e+02
4.119781000000025415e+02 6.613803332379318209e-03 1.623935689962020774e+02
4.120781000000025642e+02 6.652574398081514441e-03 1.614240427161496712e+02
4.121781000000025870e+02 6.691345463783709806e-03 1.604545164360972933e+02
4.122781000000026097e+02 6.730113672912276489e-03 1.594997144902478112e+02
4.123781000000026324e+02 6.768880648914511224e-03 1.585512687482242313e+02
4.124781000000026552e+02 6.807647624916745091e-03 1.576028230062006514e+02
4.125781000000026779e+02 6.846411657215415066e-03 1.566605248115395170e+02
4.126781000000027007e+02 6.885169056149087127e-03 1.557320795489443128e+02
4.127781000000027234e+02 6.923926455082758322e-03 1.548036342863491370e+02
4.128781000000027461e+02 6.962683854016429516e-03 1.538751890237539328e+02
4.129781000000027689e+02 7.001427881255471546e-03 1.529642888359839219e+02
4.130781000000027916e+02 7.040170691188282065e-03 1.520549858824843170e+02
4.131781000000028143e+02 7.078913501121092584e-03 1.511456829289847121e+02
4.132781000000028371e+02 7.117646624332458170e-03 1.502460679041116691e+02
4.133781000000028598e+02 7.156371009688105266e-03 1.493551918238903795e+02
4.134781000000028826e+02 7.195095395043752361e-03 1.484643157436690615e+02
4.135781000000029053e+02 7.233817100224677540e-03 1.475758693766494218e+02
4.136781000000029280e+02 7.272521632434245271e-03 1.467029911719919824e+02
4.137781000000029508e+02 7.311226164643812135e-03 1.458301129673345713e+02
4.138781000000029735e+02 7.349930696853378999e-03 1.449572347626771602e+02
4.139781000000029962e+02 7.388622725125238572e-03 1.440980021477438129e+02
4.140781000000030190e+02 7.427310460900293961e-03 1.432434539491628414e+02
4.141781000000030417e+02 7.465998196675350217e-03 1.423889057505818698e+02
4.142781000000030645e+02 7.504683859970212069e-03 1.415410225093419569e+02
4.143781000000030872e+02 7.543365730179948415e-03 1.407053375755290574e+02
