# lambda	calibration	sensitivity
4.006780999999999722e+02 4.595747879226087622e-03 1.710719042976849664e+02
4.007780999999999949e+02 4.663003043510870888e-03 1.700034645993667368e+02
4.008781000000000176e+02 4.730258207795654153e-03 1.689350249010485356e+02
4.009781000000000404e+02 4.797513372080437419e-03 1.678665852027303060e+02
4.010781000000000631e+02 4.864856389225772140e-03 1.668130365071116330e+02
4.011781000000000859e+02 4.932255811081248144e-03 1.657690483731604161e+02
4.012781000000001086e+02 4.999655232936723280e-03 1.647250602392091992e+02
4.013781000000001313e+02 5.067086617849565940e-03 1.636862500728786358e+02
4.014781000000001541e+02 5.134633226375547206e-03 1.626661059600206727e+02
4.015781000000001768e+02 5.202179834901527605e-03 1.616459618471627095e+02
4.016781000000001995e+02 5.269726443427508872e-03 1.606258177343047180e+02
4.017781000000002223e+02 5.337396282706882537e-03 1.596248829201044259e+02
4.018781000000002450e+02 5.405092184029819391e-03 1.586280106760392243e+02
4.019781000000002678e+02 5.472788085352757112e-03 1.576311384319740512e+02
4.020781000000002905e+02 5.540549372684464534e-03 1.566441248863507951e+02
4.021781000000003132e+02 5.608395933013783814e-03 1.556699685373129967e+02
4.022781000000003360e+02 5.676242493343102227e-03 1.546958121882751698e+02
4.023781000000003587e+02 5.744095500924006545e-03 1.537226009647938838e+02
4.024781000000003814e+02 5.812093405187243947e-03 1.527706306616822189e+02
4.025781000000004042e+02 5.880091309450482216e-03 1.518186603585705541e+02
4.026781000000004269e+02 5.948089213713720486e-03 1.508666900554588608e+02
4.027781000000004497e+02 6.016185700546229816e-03 1.499288351751700361e+02
4.028781000000004724e+02 6.084334995468380740e-03 1.489985415556523947e+02
4.029781000000004951e+02 6.152484290390531664e-03 1.480682479361347532e+02
4.030781000000005179e+02 6.220672770542622770e-03 1.471434534873863527e+02
4.031781000000005406e+02 6.288972917135315054e-03 1.462343300663947332e+02
4.032781000000005633e+02 6.357273063728006469e-03 1.453252066454031421e+02
4.033781000000005861e+02 6.425573210320698753e-03 1.444160832244115511e+02
4.034781000000006088e+02 6.494003336520649816e-03 1.435248925299906659e+02
4.035781000000006316e+02 6.562453229204652863e-03 1.426364289322370951e+02
4.036781000000006543e+02 6.630903121888655910e-03 1.417479653344835242e+02
4.037781000000006770e+02 6.699423674816448737e-03 1.408691145928530659e+02
4.038781000000006998e+02 6.768021702183446738e-03 1.400008037333027744e+02
4.039781000000007225e+02 6.836619729550445605e-03 1.391324928737524829e+02
4.040781000000007452e+02 6.905230246133166848e-03 1.382658627126026829e+02
4.041781000000007680e+02 6.973974346198663458e-03 1.374172091442843282e+02
4.042781000000007907e+02 7.042718446264160069e-03 1.365685555759659451e+02
4.043781000000008135e+02 7.111462546329656680e-03 1.357199020076475620e+02
4.044781000000008362e+02 7.180306238587588069e-03 1.348845482745446134e+02
4.045781000000008589e+02 7.249193888758930296e-03 1.340550648108923326e+02
4.046781000000008817e+02 7.318081538930271655e-03 1.332255813472400803e+02
4.047781000000009044e+02 7.387011750515408252e-03 1.324017515431551431e+02
4.048781000000009271e+02 7.456040020549283345e-03 1.315909473657458761e+02
4.049781000000009499e+02 7.525068290583158438e-03 1.307801431883366092e+02
4.050781000000009726e+02 7.594096560617033531e-03 1.299693390109273423e+02
4.051781000000009954e+02 7.663250024356502849e-03 1.291751309225510340e+02
4.052781000000010181e+02 7.732415635957590704e-03 1.283825331946319750e+02
4.053781000000010408e+02 7.801581247558678558e-03 1.275899354667129160e+02
4.054781000000010636e+02 7.870816363356710268e-03 1.268065608780337925e+02
4.055781000000010863e+02 7.940115680586451105e-03 1.260317057568126131e+02
4.056781000000011090e+02 8.009414997816190207e-03 1.252568506355914195e+02
4.057781000000011318e+02 8.078731015853381561e-03 1.244842233987867530e+02
4.058781000000011545e+02 8.148160078324343317e-03 1.237266762671267486e+02
4.059781000000011772e+02 8.217589140795305072e-03 1.229691291354667442e+02
4.060781000000012000e+02 8.287018203266266828e-03 1.222115820038067397e+02
4.061781000000012227e+02 8.356539793817400336e-03 1.214665091073883758e+02
4.062781000000012455e+02 8.426094352124753259e-03 1.207258807811555386e+02
4.063781000000012682e+02 8.495648910432104448e-03 1.199852524549227013e+02
4.064781000000012909e+02 8.565245346726861608e-03 1.192503522211694218e+02
4.065781000000013137e+02 8.634920873252254284e-03 1.185262699895070710e+02
4.066781000000013364e+02 8.704596399777648694e-03 1.178021877578447061e+02
4.067781000000013591e+02 8.774271926303041369e-03 1.170781055261823411e+02
4.068781000000013819e+02 8.844058417414046164e-03 1.163694715915592326e+02
4.069781000000014046e+02 8.913850137222798301e-03 1.156615655871628690e+02
4.070781000000014274e+02 8.983641857031552172e-03 1.149536595827665053e+02
4.071781000000014501e+02 9.053496239171558713e-03 1.142546393308805648e+02
4.072781000000014728e+02 9.123399131394488090e-03 1.135624979898571922e+02
4.073781000000014956e+02 9.193302023617419202e-03 1.128703566488338197e+02
4.074781000000015183e+02 9.263223191441004659e-03 1.121808454959655705e+02
4.075781000000015410e+02 9.333232004613585889e-03 1.115039480876818629e+02
4.076781000000015638e+02 9.403240817786167119e-03 1.108270506793981411e+02
4.077781000000015865e+02 9.473249630958748349e-03 1.101501532711144336e+02
4.078781000000016093e+02 9.543336941758573388e-03 1.094846151762102124e+02
4.079781000000016320e+02 9.613446208749465080e-03 1.088222543398257756e+02
4.080781000000016547e+02 9.683555475740355037e-03 1.081598935034413529e+02
4.081781000000016775e+02 9.753701732731998378e-03 1.075028161537324394e+02
4.082781000000017002e+02 9.823905770548006441e-03 1.068539919591847394e+02
4.083781000000017229e+02 9.894109808364014505e-03 1.062051677646370393e+02
4.084781000000017457e+02 9.964313846180022569e-03 1.055563435700893393e+02
4.085781000000017684e+02 1.003460668536379496e-02 1.049217234199621060e+02
4.086781000000017912e+02 1.010489959564553862e-02 1.042871146421680351e+02
4.087781000000018139e+02 1.017519250592728228e-02 1.036525058643739641e+02
4.088781000000018366e+02 1.024553572775710984e-02 1.030265093938358802e+02
4.089781000000018594e+02 1.031591138729557114e-02 1.024060655950808325e+02
4.090781000000018821e+02 1.038628704683403070e-02 1.017856217963257990e+02
4.091781000000019048e+02 1.045667928282268885e-02 1.011682346419771079e+02
4.092781000000019276e+02 1.052713133153255695e-02 1.005618767621441663e+02
4.093781000000019503e+02 1.059758338024242505e-02 9.995551888231122462e+01
4.094781000000019731e+02 1.066803542895229488e-02 9.934916100247828297e+01
4.095781000000019958e+02 1.073854513254321637e-02 9.875425439875311895e+01
4.096781000000020185e+02 1.080906696698853003e-02 9.816175719663482369e+01
4.097781000000020413e+02 1.087958880143384370e-02 9.756925999451651421e+01
4.098781000000020640e+02 1.095013798244681529e-02 9.698269335796629775e+01
4.099781000000020867e+02 1.102072271871537903e-02 9.640383747975326401e+01
4.100781000000021095e+02 1.109130745498394278e-02 9.582498160154021605e+01
4.101781000000021322e+02 1.116189464264240490e-02 9.524671571298394213e+01
