# lambda	calibration	sensitivity
4.006780999999999722e+02 4.130349516143588980e-03 1.879476796070335638e+02
4.007780999999999949e+02 4.191034040440300146e-03 1.868073062961706228e+02
4.008781000000000176e+02 4.251718564737012179e-03 1.856669329853076533e+02
4.009781000000000404e+02 4.312403089033723345e-03 1.845265596744447123e+02
4.010781000000000631e+02 4.373172991850584994e-03 1.834014610087513688e+02
4.011781000000000859e+02 4.433997710761665087e-03 1.822861692170503147e+02
4.012781000000001086e+02 4.494822429672745180e-03 1.811708774253492322e+02
4.013781000000001313e+02 4.555678231478024753e-03 1.800608976283136826e+02
4.014781000000001541e+02 4.616646083996581683e-03 1.789700670387929620e+02
4.015781000000001768e+02 4.677613936515139480e-03 1.778792364492722413e+02
4.016781000000001995e+02 4.738581789033696409e-03 1.767884058597515207e+02
4.017781000000002223e+02 4.799669569944446136e-03 1.757172964106239306e+02
4.018781000000002450e+02 4.860782714483153320e-03 1.746503577809218086e+02
4.019781000000002678e+02 4.921895859021859637e-03 1.735834191512196867e+02
4.020781000000002905e+02 4.983072691936341406e-03 1.725266259934974471e+02
4.021781000000003132e+02 5.044332583884666640e-03 1.714830640273433175e+02
4.022781000000003360e+02 5.105592475832991008e-03 1.704395020611891596e+02
4.023781000000003587e+02 5.166858653577423820e-03 1.693969148022310378e+02
4.024781000000003814e+02 5.228266099424980912e-03 1.683762332866860447e+02
4.025781000000004042e+02 5.289673545272538004e-03 1.673555517711410232e+02
4.026781000000004269e+02 5.351080991120095963e-03 1.663348702555960301e+02
4.027781000000004497e+02 5.412584649294406233e-03 1.653287662100694320e+02
4.028781000000004724e+02 5.474139845881779813e-03 1.643304709318448431e+02
4.029781000000004951e+02 5.535695042469152526e-03 1.633321756536202827e+02
4.030781000000005179e+02 5.597288524204978646e-03 1.623395809423832077e+02
4.031781000000005406e+02 5.658991107412509811e-03 1.613632311792009375e+02
4.032781000000005633e+02 5.720693690620041842e-03 1.603868814160186957e+02
4.033781000000005861e+02 5.782396273827573006e-03 1.594105316528364256e+02
4.034781000000006088e+02 5.844225999819005132e-03 1.584528657794304536e+02
