# lambda	calibration	sensitivity
4.006780999999999722e+02 4.017820856945590081e-03 1.932266046889895108e+02
4.007780999999999949e+02 4.078837994734046089e-03 1.920052520247385814e+02
4.008781000000000176e+02 4.139855132522502965e-03 1.907838993604876521e+02
4.009781000000000404e+02 4.200872270310958972e-03 1.895625466962367227e+02
4.010781000000000631e+02 4.261971008519160019e-03 1.883585780144601927e+02
4.011781000000000859e+02 4.323122137144634614e-03 1.871657704774249851e+02
4.012781000000001086e+02 4.384273265770109208e-03 1.859729629403897775e+02
4.013781000000001313e+02 4.445454086840337597e-03 1.847861882976372954e+02
4.014781000000001541e+02 4.506741946193175766e-03 1.836211616331508480e+02
4.015781000000001768e+02 4.568029805546013934e-03 1.824561349686644007e+02
4.016781000000001995e+02 4.629317664898852103e-03 1.812911083041779534e+02
4.017781000000002223e+02 4.690720019369393028e-03 1.801484029845256316e+02
4.018781000000002450e+02 4.752146588385923812e-03 1.790104184009352934e+02
4.019781000000002678e+02 4.813573157402454596e-03 1.778724338173449553e+02
4.020781000000002905e+02 4.875060488325023283e-03 1.767458805323602462e+02
4.021781000000003132e+02 4.936627061733344854e-03 1.756342353464785333e+02
4.022781000000003360e+02 4.998193635141666424e-03 1.745225901605968204e+02
4.023781000000003587e+02 5.059766201051816951e-03 1.734120364366830529e+02
4.024781000000003814e+02 5.121473443517127189e-03 1.723260124237560831e+02
4.025781000000004042e+02 5.183180685982438293e-03 1.712399884108291133e+02
4.026781000000004269e+02 5.244887928447748530e-03 1.701539643979021434e+02
4.027781000000004497e+02 5.306686820216142096e-03 1.690841495271805570e+02
4.028781000000004724e+02 5.368534806105823912e-03 1.680230174676386525e+02
4.029781000000004951e+02 5.430382791995506594e-03 1.669618854080967481e+02
4.030781000000005179e+02 5.492267215996178738e-03 1.659070392956994908e+02
4.031781000000005406e+02 5.554255477952188373e-03 1.648701062935356276e+02
4.032781000000005633e+02 5.616243739908198009e-03 1.638331732913717929e+02
4.033781000000005861e+02 5.678232001864207644e-03 1.627962402892079581e+02
4.034781000000006088e+02 5.740341162834407783e-03 1.617797384236226605e+02
4.035781000000006316e+02 5.802468709368976615e-03 1.607663435972404216e+02
4.036781000000006543e+02 5.864596255903544580e-03 1.597529487708581541e+02
4.037781000000006770e+02 5.926789545113129998e-03 1.587504865927857907e+02
4.038781000000006998e+02 5.989054916962196877e-03 1.577600113645371493e+02
4.039781000000007225e+02 6.051320288811263756e-03 1.567695361362885365e+02
4.040781000000007452e+02 6.113597284347184815e-03 1.557809709157866962e+02
4.041781000000007680e+02 6.175998605750097903e-03 1.548128349594288125e+02
4.042781000000007907e+02 6.238399927153010990e-03 1.538446990030709003e+02
4.043781000000008135e+02 6.300801248555924078e-03 1.528765630467130165e+02
4.044781000000008362e+02 6.363295292158423905e-03 1.519235470489560669e+02
4.045781000000008589e+02 6.425830261402996034e-03 1.509772046850925733e+02
4.046781000000008817e+02 6.488365230647567296e-03 1.500308623212290797e+02
4.047781000000009044e+02 6.550939840384004120e-03 1.490909533053659288e+02
4.048781000000009271e+02 6.613605778974276407e-03 1.481658662624795681e+02
4.049781000000009499e+02 6.676271717564549561e-03 1.472407792195932075e+02
4.050781000000009726e+02 6.738937656154822715e-03 1.463156921767068468e+02
4.051781000000009954e+02 6.801720245314456931e-03 1.454095008253212598e+02
4.052781000000010181e+02 6.864514153373612801e-03 1.445051429706314536e+02
4.053781000000010408e+02 6.927308061432768671e-03 1.436007851159416759e+02
4.054781000000010636e+02 6.990166760673951693e-03 1.427069460568359318e+02
4.055781000000010863e+02 7.053085307907503917e-03 1.418228232705027665e+02
4.056781000000011090e+02 7.116003855141056142e-03 1.409387004841696012e+02
4.057781000000011318e+02 7.178937978688518934e-03 1.400571264681293826e+02
4.058781000000011545e+02 7.241977535197310217e-03 1.391928045697133882e+02
4.059781000000011772e+02 7.305017091706100633e-03 1.383284826712974223e+02
4.060781000000012000e+02 7.368056648214891917e-03 1.374641607728814279e+02
4.061781000000012227e+02 7.431182551904240777e-03 1.366141702535335867e+02
