<K2400:Voltage>	<Time:Elapsed>	<setpoint1:Value>	<setpoint1:Count>	<SMU:Channel1:Current>	<SMU:Channel1:Voltage>	<TIC:In 4>
0.000000E+0	8.924253E+1	0.000000E+0	0.000000E+0	1.094920E-3	2.000000E+1	1.998450E+2
0.000000E+0	1.296707E+2	0.000000E+0	0.000000E+0	1.147520E-3	2.100000E+1	1.999280E+2
0.000000E+0	1.697399E+2	0.000000E+0	0.000000E+0	1.198660E-3	2.200000E+1	2.000080E+2
0.000000E+0	2.097260E+2	0.000000E+0	0.000000E+0	1.249970E-3	2.300000E+1	2.000740E+2
0.000000E+0	2.497310E+2	0.000000E+0	0.000000E+0	1.299860E-3	2.400000E+1	2.001240E+2
1.000000E+0	3.307422E+2	1.000000E+0	1.000000E+0	1.092720E-3	2.000000E+1	2.001100E+2
1.000000E+0	3.711133E+2	1.000000E+0	1.000000E+0	1.145290E-3	2.100000E+1	2.000890E+2
1.000000E+0	4.112077E+2	1.000000E+0	1.000000E+0	1.197050E-3	2.200000E+1	2.000760E+2
1.000000E+0	4.531294E+2	1.000000E+0	1.000000E+0	1.248350E-3	2.300000E+1	2.000600E+2
1.000000E+0	4.955940E+2	1.000000E+0	1.000000E+0	1.298770E-3	2.400000E+1	2.000420E+2
2.000000E+0	5.777413E+2	2.000000E+0	2.000000E+0	1.092100E-3	2.000000E+1	1.999390E+2
2.000000E+0	6.186360E+2	2.000000E+0	2.000000E+0	1.144660E-3	2.100000E+1	1.998960E+2
2.000000E+0	6.590457E+2	2.000000E+0	2.000000E+0	1.196320E-3	2.200000E+1	1.998820E+2
2.000000E+0	7.015682E+2	2.000000E+0	2.000000E+0	1.247560E-3	2.300000E+1	1.998750E+2
2.000000E+0	7.419889E+2	2.000000E+0	2.000000E+0	1.298460E-3	2.400000E+1	1.998780E+2
3.000000E+0	8.206183E+2	3.000000E+0	3.000000E+0	1.091700E-3	2.000000E+1	1.998440E+2
3.000000E+0	8.625433E+2	3.000000E+0	3.000000E+0	1.144270E-3	2.100000E+1	1.998390E+2
3.000000E+0	9.011715E+2	3.000000E+0	3.000000E+0	1.195900E-3	2.200000E+1	1.998590E+2
3.000000E+0	9.430348E+2	3.000000E+0	3.000000E+0	1.247390E-3	2.300000E+1	1.998830E+2
3.000000E+0	9.834416E+2	3.000000E+0	3.000000E+0	1.297980E-3	2.400000E+1	1.999170E+2
4.000000E+0	1.062628E+3	4.000000E+0	4.000000E+0	1.091340E-3	2.000000E+1	1.999240E+2
4.000000E+0	1.103011E+3	4.000000E+0	4.000000E+0	1.143740E-3	2.100000E+1	1.999310E+2
4.000000E+0	1.141514E+3	4.000000E+0	4.000000E+0	1.195240E-3	2.200000E+1	1.999570E+2
4.000000E+0	1.182130E+3	4.000000E+0	4.000000E+0	1.246830E-3	2.300000E+1	1.999820E+2
4.000000E+0	1.224169E+3	4.000000E+0	4.000000E+0	1.297340E-3	2.400000E+1	2.000110E+2
5.000000E+0	1.303139E+3	5.000000E+0	5.000000E+0	1.090870E-3	2.000000E+1	1.999950E+2
5.000000E+0	1.343659E+3	5.000000E+0	5.000000E+0	1.143140E-3	2.100000E+1	1.999890E+2
5.000000E+0	1.385633E+3	5.000000E+0	5.000000E+0	1.194780E-3	2.200000E+1	1.999990E+2
5.000000E+0	1.424131E+3	5.000000E+0	5.000000E+0	1.245910E-3	2.300000E+1	2.000110E+2
5.000000E+0	1.464713E+3	5.000000E+0	5.000000E+0	1.296630E-3	2.400000E+1	2.000230E+2
6.000000E+0	1.545474E+3	6.000000E+0	6.000000E+0	1.090270E-3	2.000000E+1	1.999820E+2
6.000000E+0	1.587937E+3	6.000000E+0	6.000000E+0	1.142860E-3	2.100000E+1	1.999680E+2
6.000000E+0	1.626693E+3	6.000000E+0	6.000000E+0	1.194400E-3	2.200000E+1	1.999730E+2
6.000000E+0	1.668524E+3	6.000000E+0	6.000000E+0	1.245830E-3	2.300000E+1	1.999790E+2
6.000000E+0	1.709144E+3	6.000000E+0	6.000000E+0	1.296060E-3	2.400000E+1	1.999920E+2
7.000000E+0	1.788173E+3	7.000000E+0	7.000000E+0	1.089780E-3	2.000000E+1	1.999550E+2
7.000000E+0	1.829983E+3	7.000000E+0	7.000000E+0	1.142160E-3	2.100000E+1	1.999440E+2
7.000000E+0	1.870126E+3	7.000000E+0	7.000000E+0	1.193820E-3	2.200000E+1	1.999530E+2
7.000000E+0	1.908665E+3	7.000000E+0	7.000000E+0	1.244980E-3	2.300000E+1	1.999670E+2
7.000000E+0	1.950464E+3	7.000000E+0	7.000000E+0	1.296320E-3	2.400000E+1	1.999820E+2
8.000000E+0	2.029670E+3	8.000000E+0	8.000000E+0	1.090020E-3	2.000000E+1	1.999570E+2
8.000000E+0	2.071576E+3	8.000000E+0	8.000000E+0	1.142320E-3	2.100000E+1	1.999520E+2
8.000000E+0	2.110168E+3	8.000000E+0	8.000000E+0	1.193840E-3	2.200000E+1	1.999650E+2
8.000000E+0	2.152122E+3	8.000000E+0	8.000000E+0	1.245050E-3	2.300000E+1	1.999800E+2
8.000000E+0	2.190701E+3	8.000000E+0	8.000000E+0	1.295550E-3	2.400000E+1	2.000000E+2
9.000000E+0	2.269187E+3	9.000000E+0	9.000000E+0	1.089250E-3	2.000000E+1	1.999780E+2
9.000000E+0	2.309639E+3	9.000000E+0	9.000000E+0	1.141700E-3	2.100000E+1	1.999720E+2
9.000000E+0	2.350188E+3	9.000000E+0	9.000000E+0	1.193030E-3	2.200000E+1	1.999850E+2
9.000000E+0	2.390600E+3	9.000000E+0	9.000000E+0	1.244570E-3	2.300000E+1	1.999980E+2
9.000000E+0	2.429214E+3	9.000000E+0	9.000000E+0	1.295460E-3	2.400000E+1	2.000170E+2
1.000000E+1	2.511511E+3	1.000000E+1	1.000000E+1	1.089080E-3	2.000000E+1	1.999880E+2
1.000000E+1	2.552102E+3	1.000000E+1	1.000000E+1	1.141480E-3	2.100000E+1	1.999790E+2
1.000000E+1	2.590712E+3	1.000000E+1	1.000000E+1	1.192730E-3	2.200000E+1	1.999890E+2
1.000000E+1	2.632614E+3	1.000000E+1	1.000000E+1	1.244530E-3	2.300000E+1	2.000010E+2
1.000000E+1	2.671064E+3	1.000000E+1	1.000000E+1	1.295500E-3	2.400000E+1	2.000160E+2
1.100000E+1	2.749587E+3	1.100000E+1	1.100000E+1	1.089180E-3	2.000000E+1	1.999840E+2
1.100000E+1	2.791634E+3	1.100000E+1	1.100000E+1	1.141570E-3	2.100000E+1	1.999730E+2
1.100000E+1	2.833499E+3	1.100000E+1	1.100000E+1	1.192970E-3	2.200000E+1	1.999840E+2
1.100000E+1	2.871762E+3	1.100000E+1	1.100000E+1	1.244410E-3	2.300000E+1	1.999980E+2
1.100000E+1	2.913585E+3	1.100000E+1	1.100000E+1	1.295060E-3	2.400000E+1	2.000130E+2
1.200000E+1	2.992677E+3	1.200000E+1	1.200000E+1	1.088810E-3	2.000000E+1	1.999830E+2
1.200000E+1	3.035122E+3	1.200000E+1	1.200000E+1	1.141240E-3	2.100000E+1	1.999740E+2
1.200000E+1	3.075139E+3	1.200000E+1	1.200000E+1	1.192780E-3	2.200000E+1	1.999840E+2
1.200000E+1	3.115603E+3	1.200000E+1	1.200000E+1	1.244140E-3	2.300000E+1	1.999960E+2
1.200000E+1	3.154082E+3	1.200000E+1	1.200000E+1	1.294450E-3	2.400000E+1	2.000120E+2
1.300000E+1	3.236988E+3	1.300000E+1	1.300000E+1	1.088570E-3	2.000000E+1	1.999800E+2
1.300000E+1	3.277199E+3	1.300000E+1	1.300000E+1	1.140940E-3	2.100000E+1	1.999710E+2
1.300000E+1	3.317729E+3	1.300000E+1	1.300000E+1	1.192420E-3	2.200000E+1	1.999810E+2
1.300000E+1	3.359458E+3	1.300000E+1	1.300000E+1	1.243590E-3	2.300000E+1	1.999950E+2
1.300000E+1	3.398145E+3	1.300000E+1	1.300000E+1	1.294430E-3	2.400000E+1	2.000110E+2
1.400000E+1	3.477161E+3	1.400000E+1	1.400000E+1	1.088320E-3	2.000000E+1	1.999800E+2
1.400000E+1	3.519122E+3	1.400000E+1	1.400000E+1	1.140470E-3	2.100000E+1	1.999720E+2
1.400000E+1	3.561058E+3	1.400000E+1	1.400000E+1	1.192300E-3	2.200000E+1	1.999830E+2
1.400000E+1	3.599680E+3	1.400000E+1	1.400000E+1	1.243490E-3	2.300000E+1	1.999970E+2
1.400000E+1	3.640079E+3	1.400000E+1	1.400000E+1	1.294360E-3	2.400000E+1	2.000110E+2
1.500000E+1	3.722628E+3	1.500000E+1	1.500000E+1	1.088310E-3	2.000000E+1	1.999810E+2
1.500000E+1	3.763257E+3	1.500000E+1	1.500000E+1	1.140670E-3	2.100000E+1	1.999730E+2
1.500000E+1	3.805065E+3	1.500000E+1	1.500000E+1	1.192090E-3	2.200000E+1	1.999830E+2
1.500000E+1	3.843667E+3	1.500000E+1	1.500000E+1	1.243350E-3	2.300000E+1	1.999960E+2
1.500000E+1	3.885629E+3	1.500000E+1	1.500000E+1	1.293980E-3	2.400000E+1	2.000120E+2
1.600000E+1	3.968124E+3	1.600000E+1	1.600000E+1	1.087740E-3	2.000000E+1	1.999820E+2
1.600000E+1	4.007164E+3	1.600000E+1	1.600000E+1	1.140060E-3	2.100000E+1	1.999730E+2
1.600000E+1	4.047593E+3	1.600000E+1	1.600000E+1	1.191460E-3	2.200000E+1	1.999830E+2
1.600000E+1	4.086090E+3	1.600000E+1	1.600000E+1	1.242960E-3	2.300000E+1	1.999980E+2
1.600000E+1	4.126640E+3	1.600000E+1	1.600000E+1	1.293650E-3	2.400000E+1	2.000130E+2
1.700000E+1	4.207120E+3	1.700000E+1	1.700000E+1	1.087890E-3	2.000000E+1	1.999830E+2
1.700000E+1	4.245620E+3	1.700000E+1	1.700000E+1	1.140120E-3	2.100000E+1	1.999750E+2
1.700000E+1	4.287572E+3	1.700000E+1	1.700000E+1	1.191540E-3	2.200000E+1	1.999840E+2
1.700000E+1	4.326129E+3	1.700000E+1	1.700000E+1	1.242930E-3	2.300000E+1	2.000000E+2
1.700000E+1	4.366194E+3	1.700000E+1	1.700000E+1	1.293120E-3	2.400000E+1	2.000160E+2
1.800000E+1	4.446638E+3	1.800000E+1	1.800000E+1	1.087190E-3	2.000000E+1	1.999860E+2
1.800000E+1	4.487183E+3	1.800000E+1	1.800000E+1	1.139490E-3	2.100000E+1	1.999780E+2
1.800000E+1	4.527683E+3	1.800000E+1	1.800000E+1	1.191040E-3	2.200000E+1	1.999890E+2
1.800000E+1	4.568094E+3	1.800000E+1	1.800000E+1	1.242320E-3	2.300000E+1	2.000040E+2
1.800000E+1	4.606510E+3	1.800000E+1	1.800000E+1	1.292760E-3	2.400000E+1	2.000200E+2
1.900000E+1	4.689624E+3	1.900000E+1	1.900000E+1	1.086840E-3	2.000000E+1	1.999880E+2
1.900000E+1	4.730128E+3	1.900000E+1	1.900000E+1	1.139280E-3	2.100000E+1	1.999810E+2
1.900000E+1	4.770178E+3	1.900000E+1	1.900000E+1	1.190660E-3	2.200000E+1	1.999910E+2
1.900000E+1	4.812349E+3	1.900000E+1	1.900000E+1	1.241900E-3	2.300000E+1	2.000040E+2
1.900000E+1	4.852470E+3	1.900000E+1	1.900000E+1	1.293220E-3	2.400000E+1	2.000210E+2
2.000000E+1	4.933134E+3	2.000000E+1	2.000000E+1	1.087140E-3	2.000000E+1	1.999930E+2
2.000000E+1	4.973647E+3	2.000000E+1	2.000000E+1	1.139580E-3	2.100000E+1	1.999830E+2
2.000000E+1	5.015539E+3	2.000000E+1	2.000000E+1	1.190920E-3	2.200000E+1	1.999890E+2
2.000000E+1	5.054160E+3	2.000000E+1	2.000000E+1	1.242220E-3	2.300000E+1	2.000030E+2
2.000000E+1	5.094199E+3	2.000000E+1	2.000000E+1	1.293250E-3	2.400000E+1	2.000150E+2
2.100000E+1	5.176059E+3	2.100000E+1	2.100000E+1	1.087430E-3	2.000000E+1	1.999840E+2
2.100000E+1	5.216072E+3	2.100000E+1	2.100000E+1	1.139580E-3	2.100000E+1	1.999750E+2
2.100000E+1	5.256585E+3	2.100000E+1	2.100000E+1	1.190940E-3	2.200000E+1	1.999820E+2
2.100000E+1	5.296748E+3	2.100000E+1	2.100000E+1	1.242090E-3	2.300000E+1	1.999960E+2
2.100000E+1	5.338624E+3	2.100000E+1	2.100000E+1	1.292790E-3	2.400000E+1	2.000110E+2
2.200000E+1	5.417699E+3	2.200000E+1	2.200000E+1	1.087000E-3	2.000000E+1	1.999830E+2
2.200000E+1	5.458229E+3	2.200000E+1	2.200000E+1	1.139270E-3	2.100000E+1	1.999730E+2
2.200000E+1	5.498512E+3	2.200000E+1	2.200000E+1	1.190740E-3	2.200000E+1	1.999850E+2
2.200000E+1	5.537161E+3	2.200000E+1	2.200000E+1	1.241840E-3	2.300000E+1	1.999990E+2
2.200000E+1	5.579402E+3	2.200000E+1	2.200000E+1	1.292320E-3	2.400000E+1	2.000150E+2
2.300000E+1	5.658135E+3	2.300000E+1	2.300000E+1	1.086820E-3	2.000000E+1	1.999890E+2
2.300000E+1	5.699094E+3	2.300000E+1	2.300000E+1	1.138820E-3	2.100000E+1	1.999820E+2
